time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2035,1,1,0,-4.2,95.1,0.5,1.6,144,,0,0,0
2035,1,1,1,-3.9,95.4,0.6,1.7,165,,0,0,0
2035,1,1,2,-3.5,96,0.6,1.7,185,,0,0,0
2035,1,1,3,-3.2,96.3,0.6,1.7,212,,0,0,0
2035,1,1,4,-2.8,97.2,0.5,1.7,229,,0,0,0
2035,1,1,5,-2.4,97.3,0.5,1.8,242,,0,0,0
2035,1,1,6,-2.1,97.4,0.4,1.6,267,,0,0,0
2035,1,1,7,-1.5,96.7,0.6,2,256,,8,0,0
2035,1,1,8,-0.8,96.1,0.7,2.3,219,,49,49,0
2035,1,1,9,0.1,93.3,1,3.7,243,,111,95,66
2035,1,1,10,1.3,88.5,2.9,4.6,35,,251,119,421
2035,1,1,11,2.2,82.4,2.8,4.7,46,,368,128,695
2035,1,1,12,2.3,77.9,2.5,4.2,40,,341,96,736
2035,1,1,13,1.8,76.1,2.6,5.1,39,,268,67,713
2035,1,1,14,0.7,72.3,2.7,4.3,32,,164,48,611
2035,1,1,15,-1.1,70.9,1.8,4.1,137,,32,32,0
2035,1,1,16,-2.5,75.6,0.5,2.4,194,,2,0,0
2035,1,1,17,-3.3,81.1,0.3,1.8,207,,1,0,0
2035,1,1,18,-4.6,84.6,0.7,2.6,196,,0,0,0
2035,1,1,19,-4.9,86.2,1,3.1,221,,0,0,0
2035,1,1,20,-5,84.9,1.4,3.1,194,,0,0,0
2035,1,1,21,-5.4,89.5,0.9,2.4,180,,0,0,0
2035,1,1,22,-5.6,87.1,1.1,2.3,190,,0,0,0
2035,1,1,23,-5.1,84.6,0.6,2.1,191,,0,0,0
2035,1,2,0,-5.5,90.2,0.3,1.5,180,,0,0,0
2035,1,2,1,-4.7,86.5,0.6,1.9,207,,0,0,0
2035,1,2,2,-3.9,87.5,0.5,1.4,34,,0,0,0
2035,1,2,3,-3.5,89.1,0.2,0.9,45,,0,0,0
2035,1,2,4,-2.7,87.5,0.4,1.5,27,,0,0,0
2035,1,2,5,-2.1,89.2,0.4,2.2,207,,0,0,0
2035,1,2,6,-2,89.2,1.4,2.8,214,,0,0,0
2035,1,2,7,-1.8,91.8,0.4,2.3,45,,7,7,0
2035,1,2,8,-0.9,91.6,1.6,4.9,45,,46,46,0
2035,1,2,9,0.9,86.4,0.9,5.1,37,,137,98,159
2035,1,2,10,2.4,85,6.7,10.8,12,,287,107,572
2035,1,2,11,3.3,82.6,5.7,9.7,20,,307,58,720
2035,1,2,12,3.4,81.8,5.5,8.9,43,,307,87,656
2035,1,2,13,2.5,87.6,6,11.1,31,,172,117,195
2035,1,2,14,1.8,88,6.3,10.7,39,,45,45,0
2035,1,2,15,1.1,78.2,7.4,16,32,,14,14,0
2035,1,2,16,0.2,78.7,7.2,13.3,26,,2,0,0
2035,1,2,17,-0.4,83.2,7.6,16.6,37,,0,0,0
2035,1,2,18,-0.5,83.8,5.3,13.4,43,,0,0,0
2035,1,2,19,-0.5,80.3,7,16.9,45,,0,0,0
2035,1,2,20,-1.2,82.9,7.5,14.4,42,,0,0,0
2035,1,2,21,-1.7,81.5,6.3,13.6,47,,0,0,0
2035,1,2,22,-2.5,76.1,5.3,12.8,32,,0,0,0
2035,1,2,23,-3.1,72.4,5,12.5,52,,0,0,0
2035,1,3,0,-3.4,73.5,5.7,14.7,48,,0,0,0
2035,1,3,1,-3.6,74.4,4.8,9.7,34,,0,0,0
2035,1,3,2,-4,82.8,3.8,7.9,22,,0,0,0
2035,1,3,3,-4,87.5,3.6,10.1,25,,0,0,0
2035,1,3,4,-3.7,85.9,4.7,14.6,40,,0,0,0
2035,1,3,5,-3.8,86.7,3.8,8.2,13,,0,0,0
2035,1,3,6,-3.6,85.2,3.3,8.2,27,,0,0,0
2035,1,3,7,-3.7,89.2,2.6,5.2,2,,8,2,0
2035,1,3,8,-3.3,84.4,2.5,5.3,5,,58,58,0
2035,1,3,9,-3.2,86,2.9,5.5,360,,103,100,10
2035,1,3,10,-2.8,86.3,3.1,6.7,2,,144,129,49
2035,1,3,11,-2.5,76.5,4.4,8.2,54,,114,114,0
2035,1,3,12,-2.6,78.1,3.3,8.6,54,,112,112,0
2035,1,3,13,-2.6,77.3,3.2,8.1,53,,126,114,44
2035,1,3,14,-2.6,83.8,2.7,5.5,23,,105,80,128
2035,1,3,15,-3.1,89.4,3.2,5.7,4,,26,26,0
2035,1,3,16,-3.4,92.3,2,3.6,43,,0,0,0
2035,1,3,17,-3.6,92.1,0.5,1.7,14,,0,0,0
2035,1,3,18,-3.8,92.1,0.2,1,135,,0,0,0
2035,1,3,19,-3.7,91.7,0.5,1.7,56,,0,0,0
2035,1,3,20,-3.9,90.5,0.1,1.2,180,,0,0,0
2035,1,3,21,-3.7,91.5,0.2,1.3,360,,0,0,0
2035,1,3,22,-3.8,92.4,0.3,1.5,45,,0,0,0
2035,1,3,23,-3.8,91.3,0.3,0.8,135,,0,0,0
2035,1,4,0,-4,93,0.5,2.1,34,,0,0,0
2035,1,4,1,-5.3,92.7,0.2,0.8,135,,0,0,0
2035,1,4,2,-6,93.3,0.2,1.3,27,,0,0,0
2035,1,4,3,-6.9,93.9,0.1,0.9,0,,0,0,0
2035,1,4,4,-7.1,93.7,0.1,0.9,360,,0,0,0
2035,1,4,5,-7.3,93.6,0.1,0.9,0,,0,0,0
2035,1,4,6,-7.6,93.3,0.1,1.2,360,,0,0,0
2035,1,4,7,-7.5,93.1,0.3,2.4,135,,7,7,0
2035,1,4,8,-6.7,91.7,0.3,1.6,90,,27,27,0
2035,1,4,9,-5.9,91.1,0.4,1.5,27,,237,139,402
2035,1,4,10,-3.7,81.5,0.5,1.2,27,,324,87,747
2035,1,4,11,-1.4,71.7,0.3,1.3,18,,358,86,777
2035,1,4,12,-0.1,62.2,0.4,3.1,117,,345,84,768
2035,1,4,13,1.9,42.9,0.2,2.1,0,,281,75,718
2035,1,4,14,1.6,42.6,0.8,2.5,187,,178,57,615
2035,1,4,15,0.1,48.2,0.8,2.6,180,,40,40,0
2035,1,4,16,-1.7,58.7,0.5,2,225,,3,0,0
2035,1,4,17,-2,59.5,1,2.1,198,,2,0,0
2035,1,4,18,-3.1,64.9,0.3,1.2,45,,0,0,0
2035,1,4,19,-3.3,63.6,0.1,1.3,180,,0,0,0
2035,1,4,20,-3.6,64.6,0.2,0.9,27,,0,0,0
2035,1,4,21,-4.3,69.2,0.3,0.9,27,,0,0,0
2035,1,4,22,-4.1,67.4,0.2,1,27,,0,0,0
2035,1,4,23,-4.6,71.7,0.2,0.9,27,,0,0,0
2035,1,5,0,-3.7,66.3,0.4,1,14,,0,0,0
2035,1,5,1,-4,71.4,0.5,1.2,14,,0,0,0
2035,1,5,2,-4.3,73.2,0.5,1.3,22,,0,0,0
2035,1,5,3,-4,72.5,0.6,1.5,11,,0,0,0
2035,1,5,4,-3.7,73.2,0.4,1.5,14,,0,0,0
2035,1,5,5,-2.4,69.7,0.5,1.5,22,,0,0,0
2035,1,5,6,-2.5,71.3,0.4,1.6,360,,0,0,0
2035,1,5,7,-2.4,67.6,0.4,1.4,18,,8,2,0
2035,1,5,8,-2.8,73.7,0.2,1.5,225,,47,47,0
2035,1,5,9,-2,72.2,0.4,1.5,180,,183,93,373
2035,1,5,10,-0.8,68.6,0.6,1.2,22,,308,94,674
2035,1,5,11,1.9,53.8,0.6,1.3,18,,356,94,747
2035,1,5,12,2.8,50.3,1.7,5.3,43,,338,76,769
2035,1,5,13,3.4,46.8,4.2,6.4,32,,278,69,721
2035,1,5,14,2.8,45.6,1,3.6,111,,173,50,622
2035,1,5,15,0.9,51.6,0.2,1.3,360,,40,40,0
2035,1,5,16,-0.4,54.3,0.2,1.3,90,,3,0,0
2035,1,5,17,-1.8,61.6,0.1,1,0,,0,0,0
2035,1,5,18,-2.4,67.7,0.1,1.2,360,,0,0,0
2035,1,5,19,-2.9,68.7,0.1,0.7,360,,0,0,0
2035,1,5,20,-3.6,73.8,0.3,1,18,,0,0,0
2035,1,5,21,-3.7,73.6,0.3,1.3,360,,0,0,0
2035,1,5,22,-3,68.3,0.6,2.3,191,,0,0,0
2035,1,5,23,-3.6,72.5,1,2.8,207,,0,0,0
2035,1,6,0,-3.1,74.3,0.6,2.6,315,,0,0,0
2035,1,6,1,-2.6,73.6,0.5,2.1,198,,0,0,0
2035,1,6,2,-2,75.5,0.5,2.1,360,,0,0,0
2035,1,6,3,-1.4,76.2,0.3,1.9,360,,0,0,0
2035,1,6,4,-0.2,75.3,3.8,10.3,23,,0,0,0
2035,1,6,5,-0.4,86.1,5.3,9.8,18,,0,0,0
2035,1,6,6,-1.3,98.7,0.9,2.7,11,,0,0,0
2035,1,6,7,-0.7,98.1,0.7,2.4,207,,6,6,0
2035,1,6,8,1.8,89.3,3.3,10.3,51,,38,38,0
2035,1,6,9,2,92,2.8,11,53,,85,85,1
2035,1,6,10,1.8,93.7,2.8,8.8,35,,139,136,9
2035,1,6,11,2.8,84.9,6.2,11.2,40,,162,144,51
2035,1,6,12,3.1,81.1,6.3,12,46,,229,139,264
2035,1,6,13,3.2,79.2,4.8,13.3,53,,207,107,343
2035,1,6,14,3,82.2,3.8,6.1,16,,161,55,523
2035,1,6,15,2.2,88.3,4,6.1,10,,53,53,0
2035,1,6,16,2,88.5,2.9,6.9,12,,0,0,0
2035,1,6,17,1.5,88,2.2,4.7,22,,0,0,0
2035,1,6,18,1.4,90.7,1.4,3.8,45,,0,0,0
2035,1,6,19,0.2,96,0.3,1.5,45,,0,0,0
2035,1,6,20,-0.9,94.1,0.7,1.7,211,,0,0,0
2035,1,6,21,-1.6,91.6,0.5,1.7,191,,0,0,0
2035,1,6,22,-2.5,90.3,0.4,1.4,198,,0,0,0
2035,1,6,23,-3.2,92,0.1,0.7,0,,0,0,0
2035,1,7,0,-3.5,87.5,0.8,1.7,220,,0,0,0
2035,1,7,1,-4.4,88.8,0.3,1.6,180,,0,0,0
2035,1,7,2,-4.9,88.3,0.5,1.8,180,,0,0,0
2035,1,7,3,-5.5,88.4,0.3,1.5,180,,0,0,0
2035,1,7,4,-5.7,88.3,0.7,1.9,198,,0,0,0
2035,1,7,5,-5.8,88.4,0.2,0.9,27,,0,0,0
2035,1,7,6,-5.9,87.5,0.2,0.8,27,,0,0,0
2035,1,7,7,-5,81.4,0.3,1,18,,7,7,0
2035,1,7,8,-5,83.8,0.4,1,14,,30,30,0
2035,1,7,9,-3.2,83.2,0.4,1.2,14,,241,141,405
2035,1,7,10,0.6,69.5,0.7,1.3,16,,321,88,725
2035,1,7,11,2.9,62.7,0.5,1.2,11,,370,103,750
2035,1,7,12,5.1,53.3,0.2,1,27,,343,87,742
2035,1,7,13,5.5,51.6,0.6,2.1,189,,283,76,703
2035,1,7,14,5.4,49.9,0.8,2.5,194,,189,80,533
2035,1,7,15,3.8,57.7,0.7,2.2,188,,51,51,0
2035,1,7,16,2.3,61.8,0.3,1.6,180,,3,0,0
2035,1,7,17,1.5,64.8,0.6,1.8,180,,3,0,0
2035,1,7,18,1,66.3,0.6,1.8,189,,0,0,0
2035,1,7,19,0.7,66.6,0.2,1.5,180,,0,0,0
2035,1,7,20,0.4,66.2,0.1,0.6,0,,0,0,0
2035,1,7,21,0.1,64.6,0.2,0.7,360,,0,0,0
2035,1,7,22,-0.7,67.4,0.2,1.2,27,,0,0,0
2035,1,7,23,-1.1,69.4,0.4,2,198,,0,0,0
2035,1,8,0,-0.4,62.2,0.6,2.1,191,,0,0,0
2035,1,8,1,-0.6,61.7,0.3,0.9,27,,0,0,0
2035,1,8,2,-1,63,0.2,1.6,45,,0,0,0
2035,1,8,3,-0.4,59.1,0.4,1,18,,0,0,0
2035,1,8,4,-1.2,63.4,0.5,1,11,,0,0,0
2035,1,8,5,-0.4,59.2,0.2,0.9,27,,0,0,0
2035,1,8,6,0.6,52.6,0.5,2.1,194,,0,0,0
2035,1,8,7,0.5,54.1,1.2,2.8,200,,7,7,0
2035,1,8,8,0.8,52.9,0.6,1.7,14,,26,26,0
2035,1,8,9,1.8,54.4,0.7,1.6,27,,243,142,407
2035,1,8,10,3.1,50.1,0.5,1.3,14,,323,88,726
2035,1,8,11,4.5,49,0.3,1.5,45,,361,82,782
2035,1,8,12,5.8,46.8,0.5,1.4,90,,353,83,774
2035,1,8,13,7,38.3,0.9,4.4,171,,290,74,727
2035,1,8,14,6.3,39.6,1,5.2,180,,188,58,629
2035,1,8,15,4.6,45.5,1.4,3.3,203,,48,48,0
2035,1,8,16,2.1,54.6,0.4,1.9,45,,3,0,0
2035,1,8,17,1,56.5,0.5,1.5,27,,0,0,0
2035,1,8,18,0.5,58.8,0.5,1.7,14,,0,0,0
2035,1,8,19,0.2,62.6,0.5,2.4,18,,0,0,0
2035,1,8,20,1.2,57.6,0.9,2.2,180,,0,0,0
2035,1,8,21,-0.3,65.4,0.4,1.8,360,,0,0,0
2035,1,8,22,-0.8,67.2,0.4,1.5,0,,0,0,0
2035,1,8,23,-0.5,65.4,0.4,1.4,360,,0,0,0
2035,1,9,0,-0.9,68.7,0.2,1.3,360,,0,0,0
2035,1,9,1,-1.3,71,0.5,2.2,225,,0,0,0
2035,1,9,2,-1.4,71.9,0.6,2.4,236,,0,0,0
2035,1,9,3,-1.5,70.9,0.6,1.9,18,,0,0,0
2035,1,9,4,-1.8,68.9,0.5,1.7,360,,0,0,0
2035,1,9,5,-2.6,74.6,0.3,1.3,45,,0,0,0
2035,1,9,6,-2.6,73.7,0.4,1.2,14,,0,0,0
2035,1,9,7,-2.7,75.7,0.6,1.9,14,,9,9,0
2035,1,9,8,-1.7,72.8,0.6,1.8,360,,69,69,0
2035,1,9,9,-0.8,71,0.4,1.6,45,,162,89,292
2035,1,9,10,1.2,64.8,0.4,1.2,360,,206,146,184
2035,1,9,11,1.8,64.5,0.5,2.4,243,,203,158,125
2035,1,9,12,3.2,58.9,1.4,5.2,18,,243,139,297
2035,1,9,13,4.2,52.7,2.6,5.9,9,,145,122,76
2035,1,9,14,4,56.8,1.4,3.6,157,,174,77,463
2035,1,9,15,2.2,64.5,1.4,4.4,167,,50,50,0
2035,1,9,16,0.7,70,0.4,1.5,194,,3,0,0
2035,1,9,17,-0.6,75.1,1,2.3,212,,2,0,0
2035,1,9,18,-1.1,77.6,0.3,0.8,360,,0,0,0
2035,1,9,19,-1.6,76.7,0.2,0.7,45,,0,0,0
2035,1,9,20,-1.8,76.8,0.3,1.4,34,,0,0,0
2035,1,9,21,-1.8,76.4,0.7,2,207,,0,0,0
2035,1,9,22,-1.4,77.1,0.8,2.3,225,,0,0,0
2035,1,9,23,-1.8,74.7,0.5,1.8,360,,0,0,0
2035,1,10,0,-1.2,69.7,0.2,1.2,27,,0,0,0
2035,1,10,1,-1.1,69.2,0.3,1.2,18,,0,0,0
2035,1,10,2,-0.7,67.7,0.3,1,27,,0,0,0
2035,1,10,3,-0.7,68.6,0.3,0.9,18,,0,0,0
2035,1,10,4,-0.8,71.2,0.3,1.6,27,,0,0,0
2035,1,10,5,-0.4,68.8,0.2,1.3,45,,0,0,0
2035,1,10,6,-0.8,72.3,0.3,1.2,27,,0,0,0
2035,1,10,7,0.5,65.4,0.2,0.8,45,,12,3,0
2035,1,10,8,0.8,64.3,0.2,0.7,27,,50,50,0
2035,1,10,9,2.4,61.1,0.4,1,14,,248,111,541
2035,1,10,10,3.6,57.2,0.3,0.8,18,,320,81,727
2035,1,10,11,5.6,52.2,0.1,0.9,270,,362,79,784
2035,1,10,12,7,48.9,0.2,1.5,0,,352,77,777
2035,1,10,13,7.6,49,0.6,1.8,189,,292,70,732
2035,1,10,14,7.6,47.1,0.8,2.7,188,,190,76,536
2035,1,10,15,5.6,51.8,0.7,2.4,180,,51,51,0
2035,1,10,16,3.2,61.2,0.4,1.7,180,,3,0,0
2035,1,10,17,2,65.6,0.3,1,45,,1,0,0
2035,1,10,18,0.5,71.9,0.4,1,27,,0,0,0
2035,1,10,19,0.4,67.3,0.5,1.3,11,,0,0,0
2035,1,10,20,-0.3,69.1,0.5,1.2,11,,0,0,0
2035,1,10,21,0,62.1,0.4,1.5,14,,0,0,0
2035,1,10,22,0,61.6,0.4,0.9,45,,0,0,0
2035,1,10,23,-1.4,67.2,0.4,1.3,14,,0,0,0
2035,1,11,0,-1.4,68.2,0.5,1.6,34,,0,0,0
2035,1,11,1,-1.7,67.4,0.6,2.4,333,,0,0,0
2035,1,11,2,-3,74.3,0.5,1.8,45,,0,0,0
2035,1,11,3,-2.9,72.7,0.4,2.4,198,,0,0,0
2035,1,11,4,-2.8,70.4,0.4,1.3,27,,0,0,0
2035,1,11,5,-3.6,73.8,0.5,1.5,14,,0,0,0
2035,1,11,6,-3.3,69.2,0.5,1.7,18,,0,0,0
2035,1,11,7,-3.4,68.4,0.5,0.9,191,,8,8,0
2035,1,11,8,-3.8,70.8,0.5,1.4,22,,31,31,0
2035,1,11,9,-2.7,70.2,0.6,1.5,18,,246,141,412
2035,1,11,10,-0.8,62.4,0.9,3.8,27,,328,88,730
2035,1,11,11,3.1,47.2,4.1,6.6,31,,373,86,787
2035,1,11,12,3,48.7,1.7,4.1,173,,361,83,780
2035,1,11,13,2.6,45.3,1.8,4.7,170,,299,75,735
2035,1,11,14,2,44.8,1.7,4.4,159,,197,80,540
2035,1,11,15,1.3,43,0.5,2.7,180,,54,54,0
2035,1,11,16,-0.5,51,1,2.1,201,,3,0,0
2035,1,11,17,-1.5,54.2,0.6,1.6,217,,0,0,0
2035,1,11,18,-2.5,58.4,0.4,1,14,,0,0,0
2035,1,11,19,-2.7,57.4,0.2,0.9,45,,0,0,0
2035,1,11,20,-3.4,63.4,0.2,0.7,63,,0,0,0
2035,1,11,21,-3.4,62.4,0.3,1.3,90,,0,0,0
2035,1,11,22,-3.9,64.9,0.4,1.4,14,,0,0,0
2035,1,11,23,-4,65.5,0.5,1.3,27,,0,0,0
2035,1,12,0,-4.2,65.4,0.5,1.3,34,,0,0,0
2035,1,12,1,-4.4,65.2,0.6,1.5,11,,0,0,0
2035,1,12,2,-3.8,60.5,0.4,1.3,27,,0,0,0
2035,1,12,3,-4.4,63.8,0.4,0.9,14,,0,0,0
2035,1,12,4,-4.7,66.7,0.4,1.2,34,,0,0,0
2035,1,12,5,-4.1,61.9,0.5,1.2,11,,0,0,0
2035,1,12,6,-5,65.4,0.5,1.4,11,,0,0,0
2035,1,12,7,-4.7,64.2,0.4,1.2,14,,8,8,0
2035,1,12,8,-4.2,62.1,0.5,1.2,22,,31,31,0
2035,1,12,9,-2.7,63.2,0.6,1,22,,248,142,415
2035,1,12,10,-0.7,60.3,0.6,1,27,,335,84,759
2035,1,12,11,0.8,58,0.4,1.8,153,,374,84,789
2035,1,12,12,2.2,48.9,0.3,1.2,360,,358,78,781
2035,1,12,13,3,46.1,1.6,3.6,176,,299,72,737
2035,1,12,14,2.2,47.9,2.1,4.8,155,,195,76,548
2035,1,12,15,1.2,49.8,1.5,4.2,160,,55,55,0
2035,1,12,16,-0.1,55.1,0.6,1.6,202,,3,0,0
2035,1,12,17,-1.5,62.8,0.3,1.8,207,,0,0,0
2035,1,12,18,-2,65.1,0.3,1.6,27,,0,0,0
2035,1,12,19,-2.1,66.3,0.3,1,18,,0,0,0
2035,1,12,20,-2.2,70.8,0.4,1.5,18,,0,0,0
2035,1,12,21,-1.3,66.5,0.4,1.5,27,,0,0,0
2035,1,12,22,-1.1,69.7,0.9,2.8,221,,0,0,0
2035,1,12,23,-0.3,67.7,0.6,1.6,315,,0,0,0
2035,1,13,0,0.2,68.2,0.7,1.3,18,,0,0,0
2035,1,13,1,0.4,67.6,0.3,0.9,18,,0,0,0
2035,1,13,2,0.2,74.4,2.1,4.9,55,,0,0,0
2035,1,13,3,-0.3,90.1,0.7,2.3,360,,0,0,0
2035,1,13,4,-0.4,89.9,1,1.9,209,,0,0,0
2035,1,13,5,-0.9,92.2,1.1,3.6,360,,0,0,0
2035,1,13,6,-0.3,92.7,4.4,7.4,20,,0,0,0
2035,1,13,7,-0.2,94.6,4.2,7.1,10,,6,6,0
2035,1,13,8,-0.2,96.9,5.5,8.3,13,,36,36,0
2035,1,13,9,-0.1,97.1,5.3,7.9,27,,83,83,0
2035,1,13,10,-0.4,97.8,5.7,7.8,21,,88,88,0
2035,1,13,11,-0.3,94.4,6,9,11,,122,121,2
2035,1,13,12,0.5,84.4,4.3,7.7,7,,220,160,164
2035,1,13,13,1,81.2,3.2,5.7,9,,199,107,293
2035,1,13,14,0.5,79.4,3,6.8,9,,130,81,218
2035,1,13,15,0,80.1,3,6,18,,57,57,0
2035,1,13,16,-1.3,93.4,3.7,5.8,38,,4,0,0
2035,1,13,17,-2.4,95.6,1.8,4.3,52,,1,0,0
2035,1,13,18,-3.1,83.5,0.2,1.3,90,,0,0,0
2035,1,13,19,-4.1,76.9,0.4,1.6,207,,0,0,0
2035,1,13,20,-5.1,79.6,0.3,1.2,315,,0,0,0
2035,1,13,21,-5.6,82.6,0.4,1.3,18,,0,0,0
2035,1,13,22,-6.4,87.6,0.3,1,18,,0,0,0
2035,1,13,23,-7.5,88.2,0.3,1.3,18,,0,0,0
2035,1,14,0,-8,87,0.3,0.9,360,,0,0,0
2035,1,14,1,-8.6,88.2,0.3,0.9,18,,0,0,0
2035,1,14,2,-9,86,0.3,1.2,18,,0,0,0
2035,1,14,3,-9.1,86.3,0.3,1.2,27,,0,0,0
2035,1,14,4,-9.7,86.5,0.3,1.2,27,,0,0,0
2035,1,14,5,-9.8,85.6,0.3,1.2,18,,0,0,0
2035,1,14,6,-10.2,85,0.4,1.4,18,,0,0,0
2035,1,14,7,-10,81.2,0.4,1.6,18,,8,8,0
2035,1,14,8,-9.8,81.9,0.4,1.3,18,,37,37,0
2035,1,14,9,-7.8,79.4,0.6,1.3,11,,256,148,418
2035,1,14,10,-4.9,60.7,0.4,1.3,34,,345,88,763
2035,1,14,11,-2.6,49,0.2,0.9,27,,387,92,794
2035,1,14,12,-1.2,40.3,0.2,2,207,,376,90,787
2035,1,14,13,0.4,31.8,0.2,2.5,90,,315,81,743
2035,1,14,14,-0.2,27.1,2.5,6.8,127,,210,84,558
2035,1,14,15,-1.8,31.1,3.2,6.5,126,,64,64,0
2035,1,14,16,-2.7,34.7,0.8,5.9,129,,3,0,0
2035,1,14,17,-4.6,44.3,0.2,1.7,207,,0,0,0
2035,1,14,18,-5.6,47.5,0.1,0.9,45,,0,0,0
2035,1,14,19,-6.5,52.1,0.2,1,27,,0,0,0
2035,1,14,20,-7.1,53.2,0.1,0.8,180,,0,0,0
2035,1,14,21,-7.8,58.7,0.3,1.2,27,,0,0,0
2035,1,14,22,-7.8,58.3,0.2,0.8,27,,0,0,0
2035,1,14,23,-7.4,55.6,0.2,1,360,,0,0,0
2035,1,15,0,-7.4,56.4,0.3,1.2,18,,0,0,0
2035,1,15,1,-8,61.2,0.4,0.9,14,,0,0,0
2035,1,15,2,-7.4,59.3,0.5,1.2,11,,0,0,0
2035,1,15,3,-7.1,55.6,0.6,1.5,11,,0,0,0
2035,1,15,4,-7,55.6,0.5,1.5,14,,0,0,0
2035,1,15,5,-7.5,57.3,0.5,1.3,11,,0,0,0
2035,1,15,6,-7.4,55.4,0.7,1.3,18,,0,0,0
2035,1,15,7,-7.1,54.1,0.5,1.4,27,,12,12,0
2035,1,15,8,-6.9,54.8,0.3,1.2,18,,39,39,0
2035,1,15,9,-5.6,56.7,0.6,1.5,22,,263,153,421
2035,1,15,10,-2.6,53.6,0.5,1.2,22,,350,101,737
2035,1,15,11,0.3,41.9,0.5,1.4,27,,388,91,796
2035,1,15,12,2.7,26.8,0.3,2.4,180,,376,86,789
2035,1,15,13,3.1,26,1.1,4.4,139,,317,79,745
2035,1,15,14,2.7,25.2,2.4,6.5,124,,211,81,566
2035,1,15,15,1.4,28.6,1,6,135,,65,65,0
2035,1,15,16,-0.8,36.2,0.5,2,207,,3,0,0
2035,1,15,17,-2.2,43.7,0.6,2.1,202,,0,0,0
2035,1,15,18,-2.5,43,0.1,0.9,180,,0,0,0
2035,1,15,19,-3.6,47.3,0.5,1.2,11,,0,0,0
2035,1,15,20,-4.3,50.5,0.2,1.2,27,,0,0,0
2035,1,15,21,-4.5,50.9,0.2,0.8,27,,0,0,0
2035,1,15,22,-5.4,55,0.3,0.9,18,,0,0,0
2035,1,15,23,-5.2,53.3,0.4,1.2,14,,0,0,0
2035,1,16,0,-5.2,53.8,0.3,1.2,18,,0,0,0
2035,1,16,1,-5.3,54.6,0.3,1,18,,0,0,0
2035,1,16,2,-5.3,54.9,0.5,1.2,11,,0,0,0
2035,1,16,3,-5.6,56,0.2,0.7,27,,0,0,0
2035,1,16,4,-5,53.6,0.4,0.9,14,,0,0,0
2035,1,16,5,-5.3,55.3,0.5,1,22,,0,0,0
2035,1,16,6,-5.3,55.3,0.5,0.9,14,,0,0,0
2035,1,16,7,-5.7,57.9,0.5,1.3,27,,7,7,0
2035,1,16,8,-4.6,52,0.6,1.3,9,,44,44,0
2035,1,16,9,-3.3,53.4,0.6,1.2,22,,264,152,423
2035,1,16,10,-0.5,51.8,0.5,1.2,11,,353,101,738
2035,1,16,11,2,41.8,0.3,0.9,18,,390,89,797
2035,1,16,12,4.1,29.6,0.3,1,18,,381,87,792
2035,1,16,13,4.8,29.4,1.4,5.9,132,,319,78,749
2035,1,16,14,3.8,30.4,2.4,6.4,128,,214,80,573
2035,1,16,15,3.2,32.9,0.4,4.7,90,,67,35,292
2035,1,16,16,0.9,39,0.2,1.4,180,,4,0,0
2035,1,16,17,-1.1,47.6,0.2,1,45,,0,0,0
2035,1,16,18,-1.8,50.2,0.3,0.8,34,,0,0,0
2035,1,16,19,-2.5,53.6,0.1,0.9,360,,0,0,0
2035,1,16,20,-2.8,53.9,0.1,0.6,45,,0,0,0
2035,1,16,21,-3.4,57.6,0.3,0.9,27,,0,0,0
2035,1,16,22,-3.9,59.1,0.5,1,22,,0,0,0
2035,1,16,23,-3.9,58.2,0.5,1,27,,0,0,0
2035,1,17,0,-4.2,59.7,0.5,1,11,,0,0,0
2035,1,17,1,-4.3,59.1,0.5,1.2,27,,0,0,0
2035,1,17,2,-4.9,62.6,0.4,0.9,18,,0,0,0
2035,1,17,3,-5.2,64.3,0.4,1,34,,0,0,0
2035,1,17,4,-5.3,63.6,0.4,0.9,14,,0,0,0
2035,1,17,5,-5.1,62.3,0.2,0.9,45,,0,0,0
2035,1,17,6,-4.7,58.3,0.4,0.9,14,,0,0,0
2035,1,17,7,-5.4,60.4,0.5,1,11,,8,8,0
2035,1,17,8,-4.8,58.3,0.3,1.2,18,,48,48,0
2035,1,17,9,-2.7,58.2,0.1,0.9,360,,265,151,426
2035,1,17,10,-1.7,54.9,0.6,1.2,31,,355,100,740
2035,1,17,11,1.5,44.9,0.5,1,27,,395,91,800
2035,1,17,12,3.4,35.1,0.3,1,315,,382,110,726
2035,1,17,13,3.3,36.1,1.2,5.2,149,,296,84,651
2035,1,17,14,3.6,36.5,1.3,2.4,198,,177,70,454
2035,1,17,15,2.3,40.5,0.7,2.3,180,,59,40,164
2035,1,17,16,0.3,45.7,0.1,0.9,0,,3,0,0
2035,1,17,17,-1.4,54.4,0.6,1.9,189,,0,0,0
2035,1,17,18,-1.9,55,0.2,1.4,180,,0,0,0
2035,1,17,19,-2.6,58.2,0.1,0.9,360,,0,0,0
2035,1,17,20,-2.4,54.6,0.1,0.9,360,,0,0,0
2035,1,17,21,-2.9,56.5,0.3,1.2,45,,0,0,0
2035,1,17,22,-3.7,61.5,0.2,0.8,27,,0,0,0
2035,1,17,23,-4.1,62.3,0.2,0.8,27,,0,0,0
